Plot Title: SN_9735539_PHb2,,,,,,,,,,,,,
#,"Date Time, GMT-06:00","Water Content, m³/m³ (LGR S/N: 9735539, SEN S/N: 2012375)","Water Content, m³/m³ (LGR S/N: 9735539, SEN S/N: 2012378)","PAR, uE (LGR S/N: 9735539, SEN S/N: 9700886)","PAR, uE (LGR S/N: 9735539, SEN S/N: 9700897)","PAR, uE (LGR S/N: 9735539, SEN S/N: 9700898)","Temp, °F (LGR S/N: 9735539, SEN S/N: 9719147)","Solar Radiation, W/m² (LGR S/N: 9735539, SEN S/N: 9719458)","Temp, °F (LGR S/N: 9735539, SEN S/N: 9721325)","RH, % (LGR S/N: 9735539, SEN S/N: 9721325)","Voltage, V (LGR S/N: 9735539, SEN S/N: 9725487)","Solar Radiation, W/m² (LGR S/N: 9735539, SEN S/N: 9734410)","Solar Radiation, W/m² (LGR S/N: 9735539, SEN S/N: 9734417)"
1,5/26/17 13:00,0.2254,0.2254,2553.7,2241.2,2553.7,51.325,35.6,71.49,27.7,-0.1988,496.9,40.6
2,5/26/17 14:00,0.2254,0.2247,1403.7,36.2,58.7,52.903,58.1,68.614,24.6,-0.1988,706.9,56.9
3,5/26/17 15:00,0.2262,0.2247,1978.7,53.7,86.2,54.126,88.1,75.853,24.4,-0.1988,1005.6,81.9
4,5/26/17 16:00,0.2262,0.224,1548.7,48.7,73.7,54.995,76.9,75.247,18.7,-0.1988,799.4,74.4
5,5/26/17 17:00,0.2262,0.2233,1106.2,38.7,56.2,55.69,61.9,72.307,18.7,-0.1988,571.9,66.9
6,5/26/17 18:00,0.2262,0.2233,596.2,23.7,38.7,55.906,43.1,64.845,18,-0.1988,309.4,46.9
7,5/26/17 19:00,0.2262,0.2233,91.2,1.2,3.7,55.602,3.1,51.764,24.3,-0.1988,29.4,1.9
8,5/26/17 20:00,0.2269,0.2225,31.2,1.2,1.2,54.734,0.6,47.557,30.9,-0.1988,9.4,0.6
9,5/26/17 21:00,0.2262,0.2218,1.2,1.2,1.2,53.645,0.6,40.158,49,-0.1988,0.6,0.6
10,5/26/17 22:00,0.2262,0.2204,1.2,1.2,1.2,52.554,0.6,35.976,58.3,-0.1988,0.6,0.6
11,5/26/17 23:00,0.2262,0.2204,1.2,1.2,1.2,51.458,0.6,35.83,60.1,-0.1988,0.6,0.6
12,5/27/17 0:00,0.2262,0.2196,1.2,1.2,1.2,50.533,0.6,36.939,59.2,-0.1988,0.6,0.6
13,5/27/17 1:00,0.2254,0.2196,1.2,1.2,1.2,49.737,0.6,44.082,41.3,-0.1988,0.6,0.6
14,5/27/17 2:00,0.2254,0.2189,1.2,1.2,1.2,49.028,0.6,41.277,48.5,-0.1988,0.6,0.6
15,5/27/17 3:00,0.2254,0.2182,1.2,1.2,1.2,48.405,0.6,39.596,55.7,-0.1988,0.6,0.6
16,5/27/17 4:00,0.2254,0.2182,1.2,1.2,1.2,47.781,0.6,34.272,67.1,-0.1988,0.6,0.6
17,5/27/17 5:00,0.2254,0.2182,1.2,1.2,1.2,47.154,0.6,31.44,72.1,-0.1988,0.6,0.6
18,5/27/17 6:00,0.2247,0.2175,28.7,1.2,1.2,46.526,0.6,33.681,80.1,-0.1988,13.1,0.6
19,5/27/17 7:00,0.224,0.2175,606.2,8.7,23.7,46.031,30.6,45.307,59.8,-0.1988,348.1,21.9
20,5/27/17 8:00,0.2233,0.2175,331.2,8.7,11.2,45.806,14.4,44.355,70.2,-0.1988,173.1,15.6
21,5/27/17 9:00,0.2233,0.2167,126.2,1.2,3.7,45.806,3.1,38.322,86.7,-0.1988,56.9,4.4
22,5/27/17 10:00,0.2233,0.2167,523.7,13.7,18.7,46.076,20.6,55.168,56.6,-0.1988,254.4,23.1
23,5/27/17 11:00,0.2233,0.216,438.7,11.2,16.2,46.571,16.9,38.084,87,-0.1988,216.9,19.4
24,5/27/17 12:00,0.2233,0.2175,648.7,16.2,26.2,47.244,25.6,56.34,45.7,-0.1988,315.6,28.1
25,5/27/17 13:00,0.2233,0.2175,513.7,13.7,18.7,48.493,21.9,52.423,47.6,-0.1988,261.9,24.4
26,5/27/17 14:00,0.2233,0.2175,1183.7,31.2,48.7,49.294,49.4,49.204,64.8,-0.1988,584.4,51.9
27,5/27/17 15:00,0.224,0.2175,433.7,11.2,16.2,49.825,18.1,47.377,56.1,-0.1988,219.4,19.4
28,5/27/17 16:00,0.2233,0.2175,503.7,13.7,18.7,50.223,20.6,51.984,45.6,-0.1988,243.1,21.9
29,5/27/17 17:00,0.2233,0.2175,216.2,3.7,6.2,50.445,6.9,45.399,54,-0.1988,101.9,8.1
30,5/27/17 18:00,0.2225,0.2167,726.2,26.2,41.2,50.18,49.4,45.624,65.2,-0.1988,381.9,51.9
31,5/27/17 19:00,0.2225,0.2167,238.7,6.2,18.7,49.782,24.4,47.512,54.3,-0.1988,120.6,15.6
32,5/27/17 20:00,0.2225,0.216,31.2,1.2,1.2,49.294,0.6,37.56,55.4,-0.1988,8.1,0.6
33,5/27/17 21:00,0.2225,0.216,1.2,1.2,1.2,48.583,0.6,32.742,72.4,-0.1988,0.6,0.6
34,5/27/17 22:00,0.2218,0.2153,1.2,1.2,1.2,47.781,0.6,33.336,76.9,-0.1988,0.6,0.6
35,5/27/17 23:00,0.2225,0.2153,1.2,1.2,1.2,46.974,0.6,28.891,87.2,-0.1988,0.6,0.6
36,5/28/17 0:00,0.2225,0.2153,1.2,1.2,1.2,46.166,0.6,25.147,92.2,-0.1988,0.6,0.6
37,5/28/17 1:00,0.2218,0.2153,1.2,1.2,1.2,45.444,0.6,24.12,93.9,-0.1988,0.6,0.6
38,5/28/17 2:00,0.2218,0.2146,1.2,1.2,1.2,44.719,0.6,22.413,94.5,-0.1988,0.6,0.6
39,5/28/17 3:00,0.2218,0.2146,1.2,1.2,1.2,44.037,0.6,22.746,92.3,-0.1988,0.6,0.6
40,5/28/17 4:00,0.2211,0.2146,1.2,1.2,1.2,43.396,0.6,21.688,94.2,-0.1988,0.6,0.6
41,5/28/17 5:00,0.2218,0.2138,1.2,1.2,1.2,42.755,0.6,19.238,94.4,-0.1988,0.6,0.6
42,5/28/17 6:00,0.2218,0.2138,26.2,1.2,1.2,42.156,0.6,19.296,94,-0.1988,8.1,0.6
43,5/28/17 7:00,0.2211,0.2138,601.2,8.7,23.7,41.693,31.9,34.223,86.8,-0.1988,348.1,19.4
44,5/28/17 8:00,0.2204,0.2138,1058.7,21.2,33.7,41.416,41.9,46.616,55.3,-0.1988,560.6,41.9
45,5/28/17 9:00,0.2204,0.2131,1406.2,33.7,46.2,41.74,51.9,55.602,36.4,-0.1988,734.4,64.4
46,5/28/17 10:00,0.2211,0.2146,1673.7,46.2,58.7,42.892,61.9,60.733,30.9,-0.1988,870.6,81.9
47,5/28/17 11:00,0.2211,0.2153,1846.2,53.7,66.2,44.582,68.1,63.561,27.3,-0.1988,975.6,90.6
48,5/28/17 12:00,0.2211,0.2146,1931.2,53.7,71.2,46.526,73.1,67.285,22.4,-0.1988,1026.9,90.6
49,5/28/17 13:00,0.2211,0.2153,1906.2,51.2,73.7,48.583,75.6,68.056,24.8,-0.1988,998.1,84.4
50,5/28/17 14:00,0.2218,0.2153,1788.7,46.2,73.7,50.621,75.6,66.643,22,-0.1988,915.6,75.6
51,5/28/17 15:00,0.2225,0.216,1573.7,41.2,68.7,52.291,73.1,69.129,21.3,-0.1988,801.9,65.6
52,5/28/17 16:00,0.2225,0.2153,1293.7,38.7,61.2,53.472,66.9,69.814,17.3,-0.1988,653.1,64.4
53,5/28/17 17:00,0.2225,0.2153,946.2,33.7,48.7,54.255,55.6,67.413,17.9,-0.1988,481.9,61.9
54,5/28/17 18:00,0.2225,0.2153,588.7,23.7,36.2,54.516,41.9,64.288,18.2,-0.1988,304.4,48.1
55,5/28/17 19:00,0.2225,0.2153,263.7,6.2,18.7,54.3,25.6,56.858,27.3,-0.1988,135.6,16.9
56,5/28/17 20:00,0.2225,0.2146,38.7,1.2,1.2,53.602,0.6,40.905,54.7,-0.1988,13.1,0.6
57,5/28/17 21:00,0.2225,0.2138,1.2,1.2,1.2,52.554,0.6,38.037,62.9,-0.1988,0.6,0.6
58,5/28/17 22:00,0.2225,0.2138,1.2,1.2,1.2,51.413,0.6,32.392,79.7,-0.1988,0.6,0.6
59,5/28/17 23:00,0.2225,0.2131,1.2,1.2,1.2,50.356,0.6,31.39,84,-0.1988,0.6,0.6
60,5/29/17 0:00,0.2218,0.2131,1.2,1.2,1.2,49.383,0.6,27.851,90.2,-0.1988,0.6,0.6
61,5/29/17 1:00,0.2218,0.2124,1.2,1.2,1.2,48.405,0.6,28.164,87.5,-0.1988,0.6,0.6
62,5/29/17 2:00,0.2211,0.2124,1.2,1.2,1.2,47.557,0.6,26.431,90.6,-0.1988,0.6,0.6
63,5/29/17 3:00,0.2211,0.2124,1.2,1.2,1.2,46.751,0.6,24.771,94.1,-0.1988,0.6,0.6
64,5/29/17 4:00,0.2211,0.2116,1.2,1.2,1.2,45.986,0.6,24.283,94.3,-0.1988,0.6,0.6
65,5/29/17 5:00,0.2204,0.2116,1.2,1.2,1.2,45.262,0.6,23.846,94,-0.1988,0.6,0.6
66,5/29/17 6:00,0.2204,0.2109,28.7,1.2,1.2,44.582,0.6,23.133,94.6,-0.1988,10.6,0.6
67,5/29/17 7:00,0.2204,0.2109,608.7,8.7,21.2,44.037,30.6,36.698,85.3,-0.1988,343.1,18.1
68,5/29/17 8:00,0.2196,0.2109,1053.7,21.2,33.7,43.853,41.9,51.062,56.7,-0.1988,550.6,41.9
69,5/29/17 9:00,0.2189,0.2116,1403.7,33.7,43.7,44.355,50.6,61.804,36,-0.1988,724.4,65.6
70,5/29/17 10:00,0.2196,0.2116,1666.2,46.2,56.2,45.489,60.6,68.614,26.9,-0.1988,861.9,83.1
71,5/29/17 11:00,0.2196,0.2124,1886.2,53.7,66.2,47.154,69.4,68.871,25.6,-0.1988,994.4,94.4
72,5/29/17 12:00,0.2204,0.2124,1966.2,53.7,71.2,48.895,74.4,73.99,22.8,-0.1988,1038.1,94.4
73,5/29/17 13:00,0.2211,0.2124,1916.2,51.2,73.7,50.752,74.4,70.286,25.4,-0.1988,1000.6,88.1
74,5/29/17 14:00,0.2211,0.2124,1791.2,43.7,73.7,52.466,75.6,71.577,21.6,-0.1988,914.4,78.1
75,5/29/17 15:00,0.2218,0.2124,1581.2,41.2,66.2,53.908,73.1,71.231,20.4,-0.1988,798.1,68.1
76,5/29/17 16:00,0.2218,0.2131,1306.2,38.7,61.2,54.952,68.1,72.826,22.1,-0.1988,658.1,68.1
77,5/29/17 17:00,0.2218,0.2131,988.7,33.7,48.7,55.602,56.9,72.783,21.1,-0.1988,500.6,65.6
78,5/29/17 18:00,0.2218,0.2124,601.2,23.7,33.7,55.906,43.1,69.728,23,-0.1988,308.1,51.9
79,5/29/17 19:00,0.2211,0.2116,268.7,6.2,18.7,55.602,25.6,57.807,28.2,-0.1988,138.1,18.1
80,5/29/17 20:00,0.2218,0.2116,36.2,1.2,1.2,54.865,0.6,42.616,55.3,-0.1988,11.9,0.6
81,5/29/17 21:00,0.2218,0.2116,1.2,1.2,1.2,53.865,0.6,40.485,59.1,-0.1988,0.6,0.6
82,5/29/17 22:00,0.2218,0.2102,1.2,1.2,1.2,52.817,0.6,36.313,69.9,-0.1988,0.6,0.6
83,5/29/17 23:00,0.2218,0.2102,1.2,1.2,1.2,51.764,0.6,31.791,81.2,-0.1988,0.6,0.6
84,5/30/17 0:00,0.2211,0.2095,1.2,1.2,1.2,50.752,0.6,32.293,82,-0.1988,0.6,0.6
85,5/30/17 1:00,0.2211,0.2095,1.2,1.2,1.2,49.825,0.6,29.509,91.7,-0.1988,0.6,0.6
86,5/30/17 2:00,0.2211,0.2087,1.2,1.2,1.2,48.983,0.6,27.381,93.4,-0.1988,0.6,0.6
87,5/30/17 3:00,0.2204,0.2087,1.2,1.2,1.2,48.182,0.6,26.218,94.8,-0.1988,0.6,0.6
88,5/30/17 4:00,0.2204,0.2087,1.2,1.2,1.2,47.422,0.6,26.164,94.8,-0.1988,0.6,0.6
89,5/30/17 5:00,0.2204,0.208,1.2,1.2,1.2,46.751,0.6,26.854,93.9,-0.1988,0.6,0.6
90,5/30/17 6:00,0.2196,0.208,31.2,1.2,1.2,46.076,0.6,25.201,95.7,-0.1988,11.9,0.6
91,5/30/17 7:00,0.2196,0.2073,591.2,6.2,21.2,45.534,29.4,40.438,79.3,-0.1988,330.6,18.1
92,5/30/17 8:00,0.2189,0.2073,1043.7,21.2,31.2,45.399,41.9,54.648,52,-0.1988,543.1,41.9
93,5/30/17 9:00,0.2182,0.208,1393.7,33.7,43.7,45.896,50.6,66.429,38.4,-0.1988,718.1,65.6
94,5/30/17 10:00,0.2182,0.208,1658.7,43.7,53.7,47.019,61.9,68.742,35.8,-0.1988,853.1,84.4
95,5/30/17 11:00,0.2189,0.2087,2066.2,56.2,71.2,48.672,76.9,71.017,29.2,-0.1988,1086.9,105.6
96,5/30/17 12:00,0.2196,0.2095,2096.2,56.2,76.2,50.488,79.4,77.902,24.4,-0.1988,1106.9,103.1
97,5/30/17 13:00,0.2204,0.2102,2311.2,58.7,86.2,52.203,91.9,73.602,27.3,-0.1988,1205.6,110.6
98,5/30/17 14:00,0.2204,0.2102,2008.7,48.7,78.7,53.733,84.4,74.338,26,-0.1988,1024.4,90.6
99,5/30/17 15:00,0.2204,0.2095,1686.2,41.2,71.2,54.909,76.9,73.299,24.8,-0.1988,850.6,74.4
100,5/30/17 16:00,0.2204,0.2095,1331.2,38.7,61.2,55.906,70.6,75.333,21.7,-0.1988,671.9,70.6
101,5/30/17 17:00,0.2204,0.2095,251.2,6.2,8.7,56.599,9.4,59.445,30.2,-0.1988,109.4,10.6
102,5/30/17 18:00,0.2211,0.2095,733.7,26.2,36.2,56.556,48.1,62.362,32,-0.1988,388.1,59.4
103,5/30/17 19:00,0.2196,0.2087,271.2,6.2,18.7,56.079,26.9,61.848,27.5,-0.1988,138.1,18.1
104,5/30/17 20:00,0.2196,0.208,41.2,1.2,1.2,55.429,0.6,46.211,49.5,-0.1988,13.1,0.6
105,5/30/17 21:00,0.2196,0.2073,1.2,1.2,1.2,54.516,0.6,41.463,61.6,-0.1988,0.6,0.6
106,5/30/17 22:00,0.2196,0.2073,1.2,1.2,1.2,53.515,0.6,36.603,75.1,-0.1988,0.6,0.6
107,5/30/17 23:00,0.2196,0.2066,1.2,1.2,1.2,52.509,0.6,34.075,81.4,-0.1988,0.6,0.6
108,5/31/17 0:00,0.2189,0.2066,1.2,1.2,1.2,51.589,0.6,33.485,84.6,-0.1988,0.6,0.6
109,5/31/17 1:00,0.2189,0.2058,1.2,1.2,1.2,50.797,0.6,33.584,87.8,-0.1988,0.6,0.6
110,5/31/17 2:00,0.2189,0.2058,1.2,1.2,1.2,50.047,0.6,34.419,82.6,-0.1988,0.6,0.6
111,5/31/17 3:00,0.2182,0.2051,1.2,1.2,1.2,49.383,0.6,29.917,92.3,-0.1988,0.6,0.6
112,5/31/17 4:00,0.2182,0.2044,1.2,1.2,1.2,48.672,0.6,28.684,94.6,-0.1988,0.6,0.6
113,5/31/17 5:00,0.2182,0.2044,1.2,1.2,1.2,48.049,0.6,29.559,92.7,-0.1988,0.6,0.6
114,5/31/17 6:00,0.2182,0.2044,43.7,1.2,1.2,47.422,0.6,28.425,95.5,-0.1988,21.9,0.6
115,5/31/17 7:00,0.2175,0.2037,558.7,6.2,18.7,46.886,28.1,43.351,73.4,-0.1988,308.1,18.1
116,5/31/17 8:00,0.2167,0.2044,1026.2,18.7,31.2,46.796,40.6,57.549,51.3,-0.1988,529.4,41.9
117,5/31/17 9:00,0.2167,0.2058,1071.2,23.7,31.2,47.244,38.1,66.472,38.8,-0.1988,528.1,48.1
118,5/31/17 10:00,0.216,0.208,1631.2,41.2,53.7,48.315,60.6,69.728,32.8,-0.1988,834.4,81.9
119,5/31/17 11:00,0.2167,0.2058,1838.7,48.7,63.7,49.87,69.4,74.511,32,-0.1988,959.4,94.4
120,5/31/17 12:00,0.2167,0.2044,738.7,18.7,26.2,51.678,30.6,77.99,25.4,-0.1988,373.1,38.1
121,5/31/17 13:00,0.2175,0.208,703.7,16.2,26.2,52.86,28.1,64.459,29.1,-0.1988,345.6,34.4
122,5/31/17 14:00,0.2175,0.208,1943.7,46.2,73.7,53.384,83.1,72.739,27.1,-0.1988,989.4,91.9
123,5/31/17 15:00,0.2175,0.2051,833.7,21.2,31.2,54.082,38.1,71.06,27.2,-0.1988,410.6,41.9
124,5/31/17 16:00,0.2175,0.2051,1191.2,33.7,51.2,54.952,59.4,72.264,24.7,-0.1988,595.6,65.6
125,5/31/17 17:00,0.2175,0.2051,741.2,21.2,28.7,55.515,35.6,67.372,30.1,-0.1988,371.9,43.1
126,5/31/17 18:00,0.2167,0.2037,666.2,21.2,31.2,55.733,40.6,70.243,31,-0.1988,348.1,51.9
127,5/31/17 19:00,0.2167,0.2029,251.2,6.2,8.7,55.69,11.9,60.904,39.8,-0.1988,128.1,14.4
128,5/31/17 20:00,0.2175,0.2015,41.2,1.2,1.2,55.342,1.9,52.947,46.7,-0.1988,25.6,1.9
129,5/31/17 21:00,0.2175,0.2008,1.2,1.2,1.2,54.734,0.6,50.797,54.7,-0.1988,0.6,0.6
130,5/31/17 22:00,0.2167,0.2015,1.2,1.2,1.2,53.994,0.6,43.03,75,-0.1988,0.6,0.6
131,5/31/17 23:00,0.2167,0.2037,1.2,1.2,1.2,53.253,0.6,40.111,80.5,-0.1988,0.6,0.6
132,6/1/17 0:00,0.216,0.2051,1.2,1.2,1.2,52.509,0.6,37.369,88.4,-0.1988,0.6,0.6
133,6/1/17 1:00,0.216,0.2044,1.2,1.2,1.2,51.764,0.6,35.249,91.4,-0.1988,0.6,0.6
134,6/1/17 2:00,0.2153,0.2037,1.2,1.2,1.2,51.062,0.6,33.089,95.2,-0.1988,0.6,0.6
135,6/1/17 3:00,0.2153,0.2044,1.2,1.2,1.2,50.356,0.6,35.152,94.7,-0.1988,0.6,0.6
136,6/1/17 4:00,0.2153,0.2022,1.2,1.2,1.2,49.782,0.6,34.81,95.3,-0.1988,0.6,0.6
137,6/1/17 5:00,0.2146,0.2022,1.2,1.2,1.2,49.294,0.6,33.978,96.4,-0.1988,0.6,0.6
138,6/1/17 6:00,0.2146,0.1964,23.7,1.2,1.2,48.762,0.6,34.124,96.5,-0.1988,10.6,0.6
139,6/1/17 7:00,0.2146,0.2029,176.2,3.7,3.7,48.405,6.9,39.643,92.7,-0.1988,89.4,8.1
140,6/1/17 8:00,0.2138,0.1957,568.7,11.2,18.7,48.272,23.1,50.621,73.6,-0.1988,284.4,26.9
141,6/1/17 9:00,0.2138,0.2022,823.7,18.7,28.7,48.583,34.4,60.26,52.1,-0.1988,413.1,40.6
142,6/1/17 10:00,0.2131,0.2008,2211.2,53.7,73.7,49.294,86.9,75.16,38.6,-0.1988,1148.1,115.6
143,6/1/17 11:00,0.2138,0.1942,1973.7,48.7,66.2,50.488,75.6,75.16,39.4,-0.1988,1030.6,101.9
144,6/1/17 12:00,0.2116,0.1913,1581.2,38.7,56.2,52.246,61.9,71.317,31.6,-0.1988,803.1,76.9
145,6/1/17 13:00,0.2124,0.1935,506.2,11.2,16.2,53.951,19.4,70.372,30.8,-0.1988,231.9,21.9
146,6/1/17 14:00,0.2138,0.1971,498.7,11.2,18.7,55.081,21.9,64.033,34.4,-0.1988,244.4,25.6
147,6/1/17 15:00,0.2269,0.1978,131.2,1.2,3.7,55.386,4.4,45.669,77.5,-0.1988,60.6,4.4
148,6/1/17 16:00,0.2262,0.1957,698.7,13.7,21.2,54.909,29.4,53.166,75.9,-0.1988,339.4,35.6
149,6/1/17 17:00,0.224,0.1957,678.7,18.7,28.7,54.865,34.4,58.411,57.5,-0.1988,316.9,43.1
150,6/1/17 18:00,0.2233,0.192,276.2,6.2,8.7,55.256,11.9,57.16,54.7,-0.1988,128.1,14.4
151,6/1/17 19:00,0.2233,0.1949,96.2,1.2,1.2,55.168,4.4,53.645,60.2,-0.1988,50.6,4.4
152,6/1/17 20:00,0.2225,0.1935,23.7,1.2,1.2,54.691,0.6,50.841,63.9,-0.1988,9.4,0.6
153,6/1/17 21:00,0.2233,0.1949,1.2,1.2,1.2,54.037,0.6,45.624,75,-0.1988,0.6,0.6
154,6/1/17 22:00,0.2218,0.1957,1.2,1.2,1.2,53.384,0.6,44.946,82.7,-0.1988,0.6,0.6
155,6/1/17 23:00,0.2211,0.1935,1.2,1.2,1.2,52.729,0.6,41.508,89.8,-0.1988,0.6,0.6
156,6/2/17 0:00,0.2204,0.1906,1.2,1.2,1.2,52.115,0.6,42.341,86.4,-0.1988,0.6,0.6
157,6/2/17 1:00,0.2204,0.1942,1.2,1.2,1.2,51.589,0.6,40.998,88.7,-0.1988,0.6,0.6
158,6/2/17 2:00,0.2204,0.1913,1.2,1.2,1.2,51.062,0.6,39.454,90,-0.1988,0.6,0.6
159,6/2/17 3:00,0.2196,0.1913,1.2,1.2,1.2,50.533,0.6,38.653,92.1,-0.1988,0.6,0.6
160,6/2/17 4:00,0.2196,0.1906,1.2,1.2,1.2,49.959,0.6,35.541,95,-0.1988,0.6,0.6
161,6/2/17 5:00,0.2189,0.1913,1.2,1.2,1.2,49.383,0.6,33.633,96.1,-0.1988,0.6,0.6
162,6/2/17 6:00,0.2182,0.1913,16.2,1.2,1.2,48.805,0.6,35.395,96.8,-0.1988,6.9,0.6
163,6/2/17 7:00,0.2175,0.1906,171.2,1.2,3.7,48.405,8.1,42.478,93.1,-0.1988,88.1,6.9
164,6/2/17 8:00,0.2175,0.1913,251.2,3.7,6.2,48.315,9.4,46.121,84.2,-0.1988,120.6,11.9
165,6/2/17 9:00,0.2167,0.2,1011.2,21.2,31.2,48.628,41.9,56.815,63.7,-0.1988,500.6,50.6
166,6/2/17 10:00,0.2175,0.1913,1818.7,41.2,56.2,49.471,70.6,62.276,49.8,-0.1988,913.1,93.1
167,6/2/17 11:00,0.2167,0.1993,1576.2,38.7,53.7,50.576,64.4,65.916,41.8,-0.1988,795.6,83.1
168,6/2/17 12:00,0.2167,0.192,1741.2,41.2,61.2,52.072,71.9,68.871,39.9,-0.1988,868.1,90.6
169,6/2/17 13:00,0.2167,0.192,728.7,16.2,26.2,53.209,31.9,60.046,47.3,-0.1988,354.4,39.4
170,6/2/17 14:00,0.2175,0.192,506.2,11.2,18.7,53.427,23.1,51.237,63.2,-0.1988,253.1,29.4
171,6/2/17 15:00,0.2167,0.1913,1741.2,38.7,68.7,53.69,84.4,65.444,42.3,-0.1988,868.1,86.9
172,6/2/17 16:00,0.2167,0.1942,688.7,18.7,28.7,54.648,34.4,53.253,56.9,-0.1988,326.9,39.4
173,6/2/17 17:00,0.2167,0.1942,1206.2,36.2,53.7,54.952,70.6,63.005,44.5,-0.1988,610.6,93.1
174,6/2/17 18:00,0.216,0.1957,173.7,3.7,6.2,55.299,5.6,61.633,38.9,-0.1988,64.4,6.9
175,6/2/17 19:00,0.216,0.1949,283.7,6.2,18.7,55.342,28.1,59.056,43.3,-0.1988,145.6,21.9
176,6/2/17 20:00,0.216,0.1957,46.2,1.2,1.2,54.909,0.6,48.717,57.4,-0.1988,14.4,0.6
177,6/2/17 21:00,0.216,0.1949,1.2,1.2,1.2,54.126,0.6,43.671,69,-0.1988,0.6,0.6
178,6/2/17 22:00,0.216,0.1942,1.2,1.2,1.2,53.253,0.6,36.554,83.2,-0.1988,0.6,0.6
179,6/2/17 23:00,0.216,0.1942,1.2,1.2,1.2,52.378,0.6,36.313,84.5,-0.1988,0.6,0.6
180,6/3/17 0:00,0.216,0.1935,1.2,1.2,1.2,51.501,0.6,33.78,88.5,-0.1988,0.6,0.6
181,6/3/17 1:00,0.2153,0.1928,1.2,1.2,1.2,50.709,0.6,32.243,89.9,-0.1988,0.6,0.6
182,6/3/17 2:00,0.2153,0.1935,1.2,1.2,1.2,49.914,0.6,32.392,89.2,-0.1988,0.6,0.6
183,6/3/17 3:00,0.2146,0.1913,1.2,1.2,1.2,49.204,0.6,30.02,91.6,-0.1988,0.6,0.6
184,6/3/17 4:00,0.2146,0.1913,1.2,1.2,1.2,48.538,0.6,30.529,89.5,-0.1988,0.6,0.6
185,6/3/17 5:00,0.2138,0.1906,1.2,1.2,1.2,47.826,0.6,28.425,92.7,-0.1988,0.6,0.6
186,6/3/17 6:00,0.2138,0.1978,33.7,1.2,1.2,47.244,0.6,28.632,91.9,-0.1988,13.1,0.6
187,6/3/17 7:00,0.2131,0.1964,596.2,6.2,18.7,46.706,33.1,39.502,83.6,-0.1988,334.4,16.9
188,6/3/17 8:00,0.2131,0.1971,1043.7,16.2,28.7,46.571,45.6,50.135,62.7,-0.1988,541.9,40.6
189,6/3/17 9:00,0.2131,0.1978,1391.2,26.2,38.7,47.019,55.6,61.29,43.7,-0.1988,715.6,69.4
190,6/3/17 10:00,0.2124,0.1978,1658.7,36.2,51.2,48.049,65.6,64.418,33,-0.1988,856.9,91.9
191,6/3/17 11:00,0.2131,0.1986,1836.2,43.7,58.7,49.516,73.1,65.916,33,-0.1988,964.4,104.4
192,6/3/17 12:00,0.2131,0.2008,1916.2,43.7,63.7,51.325,78.1,68.142,30.3,-0.1988,1010.6,106.9
193,6/3/17 13:00,0.2131,0.1993,1896.2,41.2,66.2,53.166,80.6,69.3,30.8,-0.1988,989.4,103.1
194,6/3/17 14:00,0.2131,0.1971,1778.7,38.7,66.2,54.865,80.6,70.543,28.3,-0.1988,903.1,89.4
195,6/3/17 15:00,0.2131,0.1957,1576.2,33.7,61.2,56.34,76.9,72.221,27.2,-0.1988,791.9,80.6
196,6/3/17 16:00,0.2131,0.1928,1291.2,33.7,56.2,57.592,71.9,70.759,28.7,-0.1988,650.6,83.1
197,6/3/17 17:00,0.2131,0.1986,963.7,28.7,43.7,58.498,59.4,69.942,26.4,-0.1988,485.6,83.1
198,6/3/17 18:00,0.2138,0.1986,606.2,21.2,31.2,58.842,45.6,71.06,25,-0.1988,309.4,66.9
199,6/3/17 19:00,0.2138,0.1971,288.7,6.2,16.2,58.626,29.4,64.332,25.5,-0.1988,148.1,23.1
200,6/3/17 20:00,0.2138,0.1971,46.2,1.2,1.2,57.893,0.6,51.764,42.9,-0.1988,14.4,0.6
201,6/3/17 21:00,0.2138,0.1957,1.2,1.2,1.2,56.901,0.6,47.154,49.2,-0.1988,0.6,0.6
202,6/3/17 22:00,0.2131,0.1964,1.2,1.2,1.2,55.819,0.6,43.306,57.8,-0.1988,0.6,0.6
203,6/3/17 23:00,0.2131,0.1964,1.2,1.2,1.2,54.777,0.6,38.937,66.5,-0.1988,0.6,0.6
204,6/4/17 0:00,0.2124,0.1935,1.2,1.2,1.2,53.82,0.6,35.589,75.8,-0.1988,0.6,0.6
205,6/4/17 1:00,0.2116,0.1935,1.2,1.2,1.2,52.903,0.6,33.089,82.7,-0.1988,0.6,0.6
206,6/4/17 2:00,0.2116,0.192,1.2,1.2,1.2,52.029,0.6,34.468,79.6,-0.1988,0.6,0.6
207,6/4/17 3:00,0.2109,0.192,1.2,1.2,1.2,51.237,0.6,32.891,82.3,-0.1988,0.6,0.6
208,6/4/17 4:00,0.2109,0.1928,1.2,1.2,1.2,50.533,0.6,32.142,84.2,-0.1988,0.6,0.6
209,6/4/17 5:00,0.2102,0.1935,1.2,1.2,1.2,49.825,0.6,30.02,88.5,-0.1988,0.6,0.6
210,6/4/17 6:00,0.2102,0.1906,33.7,1.2,1.2,49.204,0.6,31.491,88.7,-0.1988,13.1,0.6
211,6/4/17 7:00,0.2095,0.192,643.7,3.7,21.2,48.672,35.6,45.896,73.5,-0.1988,350.6,15.6
